sample,UMAP1,UMAP2,cancer_type,immune_hallmark_mean,sustained_hallmark_mean,key_gene_expression
TCGA-EM-A3FK-01A-11R-A21D-07,1.7608882,2.8441796,THCA,5.2555940795508596,4.293871765709417,5.88417508578381
TCGA-EM-A22L-01A-11R-A180-07,2.2833903,5.4628935,THCA,5.065449936540418,4.025343493580169,3.799932220453578
TCGA-FY-A40K-01A-11R-A23N-07,2.0994868,1.9661455,THCA,5.035663130221464,4.41757447891894,5.032230337317742
TCGA-FY-A3W9-01A-11R-A22L-07,2.9204912,5.753757,THCA,4.812069076713253,4.0275871273584585,3.9807302880985342
TCGA-FY-A40N-01A-11R-A23N-07,1.9954866,2.6892288,THCA,4.839051782102924,4.142349640630451,5.031288311115877
TCGA-ET-A39O-01A-11R-A19O-07,2.6150138,2.8165197,THCA,4.835919450148061,4.249661368168632,4.212905784322814
TCGA-ET-A3BV-01A-11R-A19O-07,1.9682841,1.1961374,THCA,5.193479755563342,4.58492332149539,5.424152033602522
TCGA-EL-A3MW-01A-11R-A20F-07,2.4674306,3.3870697,THCA,4.811998014256372,4.122990698111135,4.690672268133543
TCGA-J8-A3O1-01A-11R-A21D-07,1.6917571,3.516924,THCA,5.501174038200314,4.242979826816744,5.997867723015607
TCGA-ET-A3BS-01A-11R-A206-07,2.775344,1.965783,THCA,4.903153588702362,4.304694596861143,5.08757353644017
TCGA-KS-A4I5-01A-11R-A250-07,3.7973623,3.4205031,THCA,4.550940979208627,4.073071511451301,3.8519583679463296
TCGA-ET-A3DV-01A-12R-A206-07,2.86964,5.4909334,THCA,4.766778587596229,3.7804017354593547,3.362657412218693
TCGA-ET-A39K-01A-11R-A19O-07,3.9512374,3.4564347,THCA,4.280404552708209,3.8512839906652045,2.991540822173967
TCGA-DJ-A2Q6-01A-11R-A18C-07,1.6529257,2.0268257,THCA,5.294622580243812,4.4998210386461315,5.116025270920292
TCGA-EM-A2CS-06A-11R-A180-07,3.7149336,3.7106287,THCA,4.5291187907555575,3.972859897348532,3.132336636253347
TCGA-DJ-A3UK-01A-11R-A22L-07,1.7707654,2.583415,THCA,5.026822399917822,4.313674252344922,5.708637262367394
TCGA-ET-A4KQ-01A-12R-A250-07,2.5923357,5.15097,THCA,4.929103123794535,4.079890353492063,4.044185480411053
TCGA-EL-A3CP-01A-11R-A19O-07,1.5250846,2.3749242,THCA,5.265689634620462,4.35907209674351,5.965351034828228
TCGA-DJ-A3US-01A-11R-A22L-07,2.5271242,1.6609272,THCA,4.948776080788922,4.435931518430256,4.560237705841666
TCGA-BJ-A0ZH-01A-11R-A10U-07,3.2488317,3.3978565,THCA,4.608807289572123,4.089617531475157,3.5693967055602465
TCGA-E8-A44K-01A-21R-A23W-07,3.4115403,3.155215,THCA,4.584255675574051,4.184258871402619,3.5738440460509926
TCGA-ET-A39T-01A-11R-A19O-07,1.846313,3.8130198,THCA,4.988092014676253,4.02100415335867,5.102913110843597
TCGA-BJ-A45E-01A-11R-A32Y-07,3.7499485,1.9252405,THCA,4.572770196787394,4.187177314542748,3.2652881592946064
TCGA-DJ-A2Q4-01A-21R-A18C-07,2.0332696,2.9748926,THCA,4.9177242690297795,4.269700674705254,5.372899404510194
TCGA-EM-A3FP-01A-11R-A21D-07,3.3672645,4.3202453,THCA,4.453419317294795,3.990984237651387,3.335023875672698
TCGA-FE-A234-01A-11R-A14Y-07,2.2005622,2.8214386,THCA,5.17046169387706,4.369680735914991,4.836877612860199
TCGA-FE-A239-01A-11R-A16R-07,2.7153363,5.789864,THCA,4.54627015061523,3.9427634485444076,3.697180191984348
TCGA-DJ-A3V3-01A-11R-A22U-07,3.4050438,3.7121575,THCA,4.505009443788627,4.156395021367455,3.797090897366382
TCGA-BJ-A28R-01A-11R-A16R-07,2.3180482,2.434908,THCA,4.958571627024657,4.3247175055842515,4.571734352927761
TCGA-EM-A2OW-01A-11R-A206-07,2.5748668,5.1584797,THCA,4.855902279348179,4.0641818395799225,3.493869597184482
TCGA-FE-A236-01A-11R-A16R-07,1.6922333,3.5812433,THCA,5.220765558406966,4.212926271804472,6.209995112490866
TCGA-E3-A3E3-01A-11R-A20F-07,2.1265166,3.5006213,THCA,4.886894811223911,4.213067632554091,4.846644079533287
TCGA-DJ-A3V2-01A-11R-A22U-07,3.3535998,2.2642035,THCA,4.659374638485297,4.2627053911409165,4.51428496952142
TCGA-DJ-A13M-01A-11R-A10U-07,3.7163732,3.9491336,THCA,4.1352241182519425,3.601451256725986,1.517031391314062
TCGA-IM-A3U3-01A-11R-A22L-07,2.6240938,3.2212303,THCA,4.866072767546147,4.213441628778455,4.40800759890303
TCGA-EL-A3T6-01A-11R-A220-07,2.935969,2.3138018,THCA,4.87614715631458,4.337290786244822,4.574179445636252
TCGA-FE-A233-01A-11R-A14Y-07,1.741212,3.3942401,THCA,5.292278389316106,4.327723475881646,6.168427484410111
TCGA-BJ-A291-01A-11R-A16R-07,3.4960263,4.2126956,THCA,4.335295924838274,3.801313052048936,2.12656284165752
TCGA-DJ-A3UW-01A-11R-A22L-07,3.2645154,2.139906,THCA,4.7797637446355985,4.371881169687369,3.723275683544201
TCGA-FY-A2QD-01A-11R-A19O-07,2.6531665,5.5944414,THCA,4.9490470575383005,3.8634261778403056,4.362019813051682
TCGA-DE-A3KN-01A-11R-A20F-07,2.6566176,3.8225853,THCA,5.021579959169256,4.3001950040511785,4.825048241164081
TCGA-DJ-A2Q9-01A-21R-A18C-07,2.216019,1.162705,THCA,5.466632131799429,4.876480211021315,5.616576485306836
TCGA-DJ-A1QO-01A-11R-A14Y-07,2.4014847,2.8886607,THCA,5.000106195631568,4.358128582297539,4.662378481661469
TCGA-ET-A25P-01A-11R-A16R-07,2.545542,5.2089696,THCA,5.148992603981431,4.21515043265926,3.496744989605463
